,job_id,job_basename,job_directory,job_status,program,coords_from,xyz_filename
89,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_cmy/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
90,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nomy2/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
91,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_ome/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
92,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_oby/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
93,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nody2/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
94,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nomy/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
95,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_omy/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
96,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_npomy/crest_gfn2__gfnff_squick,not_started,CREST,,
97,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_npomy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
98,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_npomy/crest_gfn2__gfnff_squick,not_started,CREST,,
99,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_npomy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
100,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_npomy/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
101,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_npomy/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
