,job_id,job_basename,job_directory,job_status,program,coords_from,xyz_filename
0,10058734.0,orca_prepro,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_nome2/orca_prepro,succeeded,pyAroma,../cam-b3lyp_6-31Gdp_opt_freq,cam-b3lyp_6-31Gdp_opt_freq.xyz
1,-1.0,cam-b3lyp_6-31+Gdp_NICS,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_nome2/cam-b3lyp_6-31+Gdp_NICS,not_started,ORCA,../orca_prepro,orca_prepro.xyz
2,10058735.0,orca_prepro,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_tbucore/orca_prepro,succeeded,pyAroma,../cam-b3lyp_6-31Gdp_opt_freq,cam-b3lyp_6-31Gdp_opt_freq.xyz
3,-1.0,cam-b3lyp_6-31+Gdp_NICS,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_tbucore/cam-b3lyp_6-31+Gdp_NICS,not_started,ORCA,../orca_prepro,orca_prepro.xyz
4,-1.0,orca_prepro,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_noby/orca_prepro,not_started,pyAroma,../cam-b3lyp_6-31Gdp_opt_freq,cam-b3lyp_6-31Gdp_opt_freq.xyz
5,-1.0,cam-b3lyp_6-31+Gdp_NICS,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_noby/cam-b3lyp_6-31+Gdp_NICS,not_started,ORCA,../orca_prepro,orca_prepro.xyz
6,10058736.0,orca_prepro,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_nomph/orca_prepro,succeeded,pyAroma,../cam-b3lyp_6-31Gdp_opt_freq,cam-b3lyp_6-31Gdp_opt_freq.xyz
7,-1.0,cam-b3lyp_6-31+Gdp_NICS,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_nomph/cam-b3lyp_6-31+Gdp_NICS,not_started,ORCA,../orca_prepro,orca_prepro.xyz
8,10058737.0,orca_prepro,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_nome/orca_prepro,succeeded,pyAroma,../cam-b3lyp_6-31Gdp_opt_freq,cam-b3lyp_6-31Gdp_opt_freq.xyz
9,-1.0,cam-b3lyp_6-31+Gdp_NICS,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_nome/cam-b3lyp_6-31+Gdp_NICS,not_started,ORCA,../orca_prepro,orca_prepro.xyz
10,-1.0,orca_prepro,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_npome/orca_prepro,not_started,pyAroma,../cam-b3lyp_6-31Gdp_opt_freq,cam-b3lyp_6-31Gdp_opt_freq.xyz
11,-1.0,cam-b3lyp_6-31+Gdp_NICS,/gpfs/research/alabuginlab/gage/michael/quick/_0_1_npome/cam-b3lyp_6-31+Gdp_NICS,not_started,ORCA,../orca_prepro,orca_prepro.xyz
